Race_name,Circuit Address,GPS coordinates,Latitude,Longitude,IconColor
Melbourne," Albert Park, Melbourne, Australia",,-37.849209,144.971816,Red
Sakhir,Bahrain Int'l circuit,,26.031802,50.51334,Red
Hanoi,"Lê Quang Đạo, Mễ Trì, Từ Liêm, Hà Nội, Vietnam",,21.015901,105.765271,Red
Shanghai,"Jiading, Shanghai","31°20'33.9""N 121°13'19.0""E",31.342758,121.221933,Red
Zandvoort," Zandvoort, Netherlands","52°23'16.7""N 4°32'41.1""E",52.387969,4.544737,Red
Barcelona,"Carrer Mas Moreneta, 08160 Montmeló, Barcelona, Spain","
41°34'07.5""N 2°15'31.5""E
",41.56875,2.258742,Red
Monaco,"Circuit de Monaco, Monaco","43°44'13.2""N 7°25'22.7""E",43.736994,7.422968,Red
Baku,"Zarifa Aliyeva, Bakı, Azerbaijan","40°22'22.7""N 49°51'12.6""E",40.373003,49.853543,Red
Montreal," 2170 Av Pierre-Dupuy #100, Montréal, QC H3C 3R4, Canada","
45°30'14.6""N 73°31'33.2""W
",45.50406,-73.525881,Red
Le Castellet,"Circuit Paul Ricard, Le Castellet, Var,","43°15'07.6""N 5°47'39.1""E",43.252121,5.794191,Red
Spielberg,"Red Bull Ring, Spielberg, Styria, Austria","
47°13'15.2""N 14°45'57.3""E
",47.220892,14.765911,Red
Silverstone,"Silverstone Circuit, Towcester NN12 8TN, United Kingdom","
52°04'27.3""N 1°00'52.2""W
",52.074248,-1.014507,Red
Budapest,"Hungaroring, Mogyoród, Hungary","
47°34'52.1""N 19°15'05.3""E
",47.581129,19.251462,Red
Spa,"Spa Francorchamps, Route du Circuit 36, 4970 Stavelot, Belgium","50°26'15.8""N 5°58'18.8""E",50.437712,5.971883,Red
Monza,Autodromo Nazionale Monza,"45°37'20.2""N 9°17'10.0""E",45.62228,9.286115,Red
Singapore,Marina Bay Street Circuit,"
1°17'35.5""N 103°51'51.8""E
",1.293193,103.864391,Red
Sochi,"Sochi Autodrom, Sochi","
43°24'38.8""N 39°57'53.7""E
",43.410764,39.964904,Red
Suzuka,"Suzuka International Racing Course, Suzuka, Japan","
34°50'49.2""N 136°32'22.2""E
",34.847005,136.539488,Red
Austin,"9201 Circuit of the Americas Blvd, Austin, TX 78617, United States","30°08'07.6""N 97°38'05.3""W",30.134822,-97.63481,Red
Mexico City,"Autódromo Hermanos Rodríguez, Mexico","19°24'18.2""N 99°05'16.7""W",19.405054,-99.087959,Red
Sao Paulo,Autódromo José Carlos Pace São Paulo,"
23°42'03.6""S 46°41'49.6""W
",-23.701,-46.697111,Red
Abu Dhabi,"Yas Marina Circuit, Abu Dhabi.","
24°28'14.7""N 54°36'06.5""E
",24.470761,54.601815,Red
